variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-75.4503231125,-75.1238,1.7350631816006217,1.5441278999999988,-78.74445,-73.27088499999999,1.001709609417487,3907.9852632884526,6751.356822060249
tau,0.021886047428125,0.01316175,0.019889236577360525,0.005282800319999999,0.0082459185,0.0649434,1.0121471472746884,288.47515181292437,491.30273761471585
eps,0.04057489252284375,0.0379583,0.02635870775163959,0.033040259909999994,0.003386244,0.08330151499999999,1.0045895008674925,567.6530189442165,3380.7858184031015
d1,0.241932361325,0.246967,0.04841359391755853,0.04193756489999999,0.1525748,0.31266744999999996,1.0095584938002327,441.86843450384885,536.5778745882334
k_12,0.4273022544375,0.41656000000000004,0.10504929753261896,0.10143504420000009,0.26787384999999997,0.614856,1.0037199934268008,3771.286047544543,4778.1853436861165
d2,0.56873444625,0.5549965,0.13740417667122706,0.1342887189,0.36148625,0.81147755,1.0023731519417711,3383.4324821953996,5007.0604961903055
S0,0.2007085238125,0.201066,0.024582151659925385,0.024820947900000008,0.16074354999999999,0.24127624999999997,1.001392141259746,1347.3390810161168,1544.183170463998
"y_hat1[1,1]",0.1965526051875,0.196889,0.02549467698767195,0.026348025900000013,0.15475905,0.23830405,1.002996701413235,908.1766772270819,1329.487705069506
"y_hat1[2,1]",0.16222090861875,0.17097649999999998,0.03863254323090449,0.03289296359999999,0.0879587,0.21325835,1.010762273644746,317.6086394914715,541.078222445278
"y_hat1[3,1]",0.13702193517625,0.1504705,0.04541269618416034,0.035001962099999985,0.046162949999999994,0.19189155000000002,1.011471555385713,292.69753809450043,509.5576065739543
"y_hat1[4,1]",0.117512412397,0.1324745,0.0472483340422639,0.03658018980000002,0.024026385000000004,0.17372534999999997,1.0116311271173748,286.0201414157708,521.2501787480576
"y_hat1[5,1]",0.1018338648295,0.116751,0.04653024535501853,0.0374445456,0.012500535,0.1578801,1.0119919035032536,283.699979998677,511.38114351521494
"y_hat1[6,1]",0.088898794060225,0.10269400000000001,0.04455269911904609,0.03775996875,0.006590090000000001,0.14383975,1.012321945853558,282.74823018442845,494.31083316287726
"y_hat1[7,1]",0.07802596948447937,0.09029345,0.04199678347004868,0.03784825758,0.0034405815000000005,0.13116415,1.0128302540091867,282.503261190479,484.5706398429986
"y_hat1[8,1]",0.06876274251757612,0.07939155,0.039224782258833475,0.03758272392,0.00178512,0.1200912,1.0126901840012268,282.3753418355563,479.8429748617925
