variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-32.45104775,-32.1238,1.7996710007370234,1.6264122000000019,-35.910199999999996,-30.180284999999998,1.000810633432855,2116.0846839987944,3240.3157105374535
tau,0.194720370525,0.17059950000000002,0.09724182387563714,0.067028346,0.09557303,0.3811292999999999,1.0010995315175402,3059.566620702697,3123.0257906950324
k_1,0.3155888368,0.29901,0.1335183072090662,0.12389939939999998,0.12842705,0.5714124499999998,1.002037420922217,2517.9842683530615,2713.377593455416
deg_1,0.620309668125,0.5955725000000001,0.24941600523975083,0.23478157080000012,0.26006595000000005,1.0814459999999997,1.0025496330505812,2513.255085997647,2572.5586833383477
k_12,0.1961313366125,0.187751,0.05049522792097885,0.04524524549999998,0.13062345,0.28819519999999993,1.001780387290588,2704.2190164848544,3180.7912160268456
deg_2,0.0533944928,0.05081785,0.016310903449698728,0.014805169469999994,0.032067170000000006,0.08261844,1.001742600070101,2743.671948362036,3321.01079419262
S0,0.71546425225,0.714573,0.09205988574715017,0.09387378419999994,0.56447645,0.8651524499999999,1.0015263018585312,3929.3451974993127,3060.978520737342
"y_hat1[1,1]",0.59089631425,0.5906635,0.08899369899149473,0.08969433479999998,0.44538449999999996,0.73632225,1.001603615410353,2970.579679122219,3292.0022328931273
"y_hat1[2,1]",0.249821770769375,0.25292099999999995,0.10302367074764925,0.10903411050000009,0.072525785,0.41630149999999994,1.0011887986201002,2714.299094105956,3041.610114248737
"y_hat1[3,1]",0.116752895475217,0.107983,0.07481272407275058,0.0809358753,0.011046695000000002,0.2529057999999999,1.001181265975512,2870.830888789988,3035.877878663392
"y_hat1[4,1]",0.058137348448944734,0.046245350000000005,0.049475571475787294,0.047494942740000004,0.0016591570000000005,0.15555954999999994,1.001162837308986,2931.716707269122,3097.960285253176
"y_hat1[5,1]",0.03031321695349142,0.019733,0.032047986829185214,0.024510180114,2.4914725000000005e-4,0.09561636499999998,1.0011530690440378,2962.3225277111337,3041.964909389756
"y_hat1[6,1]",0.016383596525951845,0.008421640000000001,0.02075444303991692,0.011529593090400001,3.71119e-5,0.05924718499999992,1.0011444427005278,2979.8628758820337,3072.592235881417
"y_hat1[7,1]",0.009118580627232723,0.0035874649999999998,0.013532939638388123,0.0051487132347,5.499787e-6,0.03672032999999998,1.0011483828944927,2998.0164495487575,3072.592235881417
"y_hat1[8,1]",0.0052020840839266625,0.001529115,0.00890659810216888,0.0022413406392299997,8.211974500000001e-7,0.022643904999999978,1.00115106851638,2987.477434985634,3060.1920633137356
"y_hat1[9,1]",0.0030315878718219654,6.482795e-4,0.005920122997916766,9.57477661371e-4,1.2213720000000001e-7,0.014062529999999997,1.0011357317841227,2961.698322427864,3103.799336304185
"y_hat1[10,1]",0.0017999252640674996,2.77639e-4,0.003973338606561737,4.1112139284929993e-4,2.1506510000000024e-8,0.008749065999999995,1.0010924576802864,2989.5630895664044,3162.2335832420927
"y_hat1[11,1]",0.001086454689905554,1.1806100000000001e-4,0.002691145869360981,1.7497033167894e-4,4.7768860000000004e-09,0.005410182999999999,1.0010815065939453,3048.7877802982284,2952.5867948173263
"y_hat1[12,1]",6.655617660165083e-4,5.03825e-5,0.0018380786189587494,7.4685506439096e-5,1.1846064999999998e-9,0.0033659989999999906,1.001099355009186,3068.8974190489275,3291.2792912516093
"y_hat1[13,1]",4.1319680400597264e-4,2.14877e-5,0.0012650579439124833,3.1855181858493e-5,1.7434610000000007e-10,0.0020911394999999916,1.0011867761270867,3023.3501009936367,3735.9447200845802
"y_hat1[14,1]",2.5964496081256656e-4,9.154625e-6,8.767181559810719e-4,1.35724855535514e-5,-2.749227499999989e-11,0.0012972254999999992,1.00103658790249,3077.5193798937917,3999.842232157815
